ID,diffuse,compact,merger,off_center,nearby,irregular,problematic,NBs,NBID,RA,DEC,F_Lya,dF_Lya,EW_rest,fuv,dfuv,U-B,Type,SpatialWeight,ID_2
466002,0,0,3,4,5,2,0,466,2,52.8792838,-28.0423572,1.77E-16,1.05E-17,33.32,9.61E-30,2.64E-31,0.8,N,0.82,466002
466005,0,3,0,0,0,0,0,466,5,52.9921997,-28.0357041,3.65E-17,7.67E-18,32.35,2.04E-30,1.83E-31,1.25,N,0.98,466005
466009,2,0,3,0,2,3,0,466,9,53.1966205,-28.0256452,3.18E-17,6.73E-18,29.04,1.98E-30,2.04E-31,0.41,N,0.74,466009
466011,0,1,5,0,1,0,0,466,11,53.286436,-28.0242694,6.17E-17,6.34E-18,54.08,2.07E-30,2.00E-31,0.83,N,1.06,466011
466017,0,4,0,0,0,1,0,466,17,52.9774181,-27.9870034,4.37E-17,4.96E-18,30.25,2.62E-30,1.57E-31,0.85,N,1.47,466017
466021,0,4,4,0,0,2,0,466,21,52.8472636,-27.9788024,4.00E-17,5.07E-18,35.33,2.05E-30,1.72E-31,3.04,N,1.36,466021
466024,4,0,0,3,1,1,1,466,24,53.3018722,-27.9688682,3.24E-17,5.75E-18,9000,6.53E-33,1.79E-31,-1.2,N,2.08,466024
466025,2,0,2,0,4,1,0,466,25,52.9582259,-27.9650319,5.62E-17,6.23E-18,84.69,1.20E-30,1.96E-31,1.23,N,1.39,466025
466026,0,4,0,1,0,0,0,466,26,53.3117854,-27.9636194,2.63E-16,7.08E-18,53.91,8.83E-30,2.11E-31,0.65,X,2.16,466026
466027,0,3,1,0,1,1,0,466,27,52.8504778,-27.9608703,5.56E-17,4.91E-18,126.13,7.98E-31,1.57E-31,1.19,N,1.34,466027
466028,0,0,0,0,1,0,5,466,28,53.082013,-27.9566657,3.00E-17,5.79E-18,1459.7,3.72E-32,2.01E-31,-0.08,N,0.9,466028
466034,1,4,0,1,1,0,0,466,34,53.2603845,-27.9360594,3.21E-17,5.50E-18,164.75,3.53E-31,1.73E-31,0.46,N,1.93,466034
466042,3,0,1,1,4,2,0,466,42,53.0250007,-27.9129718,4.80E-17,5.39E-18,49.36,1.76E-30,1.64E-31,0.52,N,1.85,466042
466043,0,1,1,4,4,1,0,466,43,53.1853217,-27.9102215,3.54E-17,5.42E-18,9000,7.13E-33,1.55E-31,0.23,N,1.55,466043
466047,0,3,2,0,5,0,0,466,47,53.1811791,-27.9025233,1.08E-16,9.05E-18,41.26,4.76E-30,2.57E-31,0.36,N,1.6,466047
466049,0,0,0,2,2,0,5,466,49,53.3176638,-27.8995262,5.91E-17,5.62E-18,195.69,5.46E-31,2.21E-31,0.66,N,5.45,466049
466050,3,0,2,4,1,2,1,466,50,53.3154482,-27.8984731,8.70E-17,9.00E-18,52.68,2.99E-30,3.37E-31,0.46,N,5.45,466050
466056,0,1,5,0,0,1,0,466,56,52.953489,-27.8929363,1.05E-16,1.04E-17,89.31,2.12E-30,3.37E-31,0.87,N,1.28,466056
466058,1,0,3,2,4,1,0,466,58,53.3166361,-27.8887937,1.04E-16,1.06E-17,156.07,1.21E-30,4.63E-31,0.38,N,5.86,466058
466059,0,2,1,4,5,1,0,466,59,53.3214293,-27.8879438,5.38E-17,5.87E-18,38.4,2.54E-30,2.85E-31,0.42,N,5.98,466059
466060,0,1,0,1,1,0,5,466,60,53.3197855,-27.8879128,7.19E-17,8.42E-18,41.63,3.13E-30,4.17E-31,1.15,N,5.96,466060
466063,2,0,0,0,0,0,3,466,63,53.3711277,-27.8765732,5.62E-17,7.36E-18,99.48,1.02E-30,2.53E-31,1,N,4.74,466063
466065,0,3,5,0,0,1,0,466,65,53.3457349,-27.8763443,1.23E-16,9.94E-18,53.4,4.18E-30,3.04E-31,1.01,N,5.9,466065
466067,0,2,5,0,1,1,0,466,67,53.0975637,-27.8698075,4.57E-17,6.87E-18,9000,9.19E-33,2.33E-31,-0.58,N,3.55,466067
466068,0,0,1,4,0,0,2,466,68,53.1123048,-27.8681047,3.11E-17,5.54E-18,436.75,1.29E-31,2.00E-31,2.41,N,3.17,466068
466069,0,2,5,0,4,1,0,466,69,53.0264809,-27.8680305,1.35E-16,9.21E-18,91.66,2.67E-30,2.86E-31,0.41,N,3.74,466069
466070,1,4,0,0,5,0,0,466,70,53.0268474,-27.865536,7.63E-17,7.10E-18,582.78,2.37E-31,2.25E-31,0.69,N,3.85,466070
466075,0,1,2,0,5,2,0,466,75,53.3116127,-27.8609039,3.71E-17,6.99E-18,34.54,1.95E-30,2.30E-31,0.39,N,5.43,466075
466076,1,0,3,1,3,4,0,466,76,53.3279345,-27.8559386,3.66E-17,7.35E-18,36.77,1.80E-30,2.37E-31,0.89,N,5.44,466076
